[['O', 'O', 'X'], [None, 'O', 'X'], ['X', 'X', None]]@10@O
[['X', 'O', 'O'], ['X', 'O', None], [None, 'X', None]]@-10@O
[[None, 'X', 'X'], ['X', 'O', 'O'], [None, None, 'O']]@-10@O
[[None, None, 'O'], ['X', 'O', 'O'], [None, 'X', 'X']]@-10@O
[['O', None, None], ['O', 'O', 'X'], ['X', 'X', None]]@-10@O
[[None, 'X', None], [None, 'O', 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], [None, 'O', 'X'], [None, 'X', None]]@-10@O
[['X', 'X', None], ['O', 'O', 'X'], ['O', None, None]]@-10@O
[[None, 'X', None], ['X', 'O', None], ['X', 'O', 'O']]@-10@O
[[None, 'X', 'X'], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', None], ['O', None, 'X'], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, 'X'], ['O', 'O', None]]@-10@O
[[None, 'O', 'O'], ['X', None, 'O'], ['X', 'X', 'X']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], [None, 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'O']]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], ['X', 'X', None]]@-10@O
[['X', 'X', None], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[['O', 'X', 'X'], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[['X', 'X', 'O'], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], ['X', 'X', 'O']]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], ['O', 'X', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', None], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], ['X', 'X', None]]@-10@O
[[None, 'X', 'X'], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], [None, 'X', None]]@-10@O
[['O', 'O', None], ['O', None, 'X'], ['X', 'X', None]]@-10@O
[[None, 'X', None], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[[None, 'X', 'X'], ['X', None, 'O'], [None, 'O', 'O']]@-10@O
[[None, 'X', None], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[[None, 'O', 'O'], ['X', None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', None], ['O', None, 'X'], ['O', 'O', None]]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], [None, 'X', None]]@-10@O
[['X', 'X', 'O'], ['O', None, 'X'], ['O', None, 'X']]@10@O
[['O', None, 'X'], ['O', None, 'X'], ['X', 'X', 'O']]@10@O
[['X', None, 'O'], ['X', None, 'O'], ['O', 'X', 'X']]@10@O
[['X', 'X', 'O'], [None, None, 'X'], ['O', 'O', 'X']]@10@O
[['O', 'X', 'X'], ['X', None, None], ['X', 'O', 'O']]@10@O
[['O', 'O', 'X'], [None, None, 'X'], ['X', 'X', 'O']]@10@O
[['X', 'O', 'O'], ['X', None, None], ['O', 'X', 'X']]@10@O
[['O', 'X', 'X'], ['X', None, 'O'], ['X', None, 'O']]@10@O
[['O', None, None], ['O', None, 'X'], ['X', 'X', 'O']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], [None, 'X', 'O']]@-10@O
[[None, 'X', 'O'], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[[None, None, 'O'], ['X', None, 'O'], ['O', 'X', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, None], ['O', 'X', None]]@-10@O
[['O', 'X', None], ['X', None, None], ['X', 'O', 'O']]@-10@O
[['O', 'X', 'X'], ['X', None, 'O'], [None, None, 'O']]@-10@O
[['X', 'X', 'O'], ['O', None, 'X'], ['O', None, None]]@-10@O
[['X', 'X', 'O'], ['X', None, None], ['X', 'O', 'O']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], ['O', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, 'O']]@-10@O
[['O', None, 'O'], ['X', None, 'O'], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, 'X'], ['O', None, 'O']]@-10@O
[['O', 'X', 'X'], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, None], ['X', 'X', 'O']]@-10@O
[['O', None, 'O'], ['O', None, 'X'], ['X', 'X', 'X']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], ['O', 'X', None]]@-10@O
[['X', 'O', 'O'], ['X', None, None], [None, 'X', 'O']]@-10@O
[['O', None, 'O'], ['O', None, 'X'], ['X', 'X', None]]@-10@O
[['O', None, 'O'], ['X', None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', None], ['O', None, 'X'], ['O', None, 'O']]@-10@O
[[None, 'X', 'O'], ['X', None, None], ['X', 'O', 'O']]@-10@O
[[None, 'X', 'X'], ['X', None, 'O'], ['O', None, 'O']]@-10@O
[['O', 'X', None], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[[None, 'X', 'X'], ['X', None, 'O'], [None, None, 'O']]@-10@O
[['X', 'X', None], ['O', None, 'X'], ['O', None, None]]@-10@O
[['O', None, None], ['O', None, 'X'], ['X', 'X', None]]@-10@O
[[None, 'X', None], ['X', None, None], ['X', 'O', 'O']]@-10@O
[[None, None, 'O'], ['X', None, 'O'], [None, 'X', 'X']]@-10@O
[[None, 'X', None], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], [None, 'X', None]]@-10@O
[['X', 'O', 'O'], ['X', None, None], [None, 'X', None]]@-10@O
[['X', 'X', 'X'], ['O', 'O', None], ['O', None, 'X']]@-10@O
[['O', 'O', 'X'], [None, 'O', 'X'], ['X', None, 'X']]@-10@O
[['X', None, 'O'], [None, 'O', 'O'], ['X', 'X', 'X']]@-10@O
[['X', None, 'X'], [None, 'O', 'X'], ['O', 'O', 'X']]@-10@O
[['X', None, 'X'], ['X', 'O', None], ['X', 'O', 'O']]@-10@O
[['X', 'X', 'X'], [None, 'O', 'O'], ['X', None, 'O']]@-10@O
[['X', 'O', 'O'], ['X', 'O', None], ['X', None, 'X']]@-10@O
[['O', None, 'X'], ['O', 'O', None], ['X', 'X', 'X']]@-10@O
[[None, None, 'X'], ['X', 'O', None], ['X', 'O', 'O']]@-10@O
[[None, 'X', 'X'], [None, 'O', 'O'], ['X', None, 'O']]@-10@O
[['X', 'O', 'O'], ['X', 'O', None], [None, None, 'X']]@-10@O
[['X', None, None], [None, 'O', 'X'], ['O', 'O', 'X']]@-10@O
[['X', 'X', None], ['O', 'O', None], ['O', None, 'X']]@-10@O
[['O', None, 'X'], ['O', 'O', None], ['X', 'X', None]]@-10@O
[['O', 'O', 'X'], [None, 'O', 'X'], ['X', None, None]]@-10@O
[['X', None, 'O'], [None, 'O', 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', 'X'], [None, None, 'O'], ['X', 'O', 'O']]@-10@O
[['X', None, 'X'], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'O'], [None, None, 'O'], ['X', 'X', 'X']]@-10@O
[['X', None, 'X'], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[['O', 'O', 'X'], ['O', None, None], ['X', 'X', 'X']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], ['X', None, 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], ['X', None, 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, None], ['O', 'O', 'X']]@-10@O
[[None, 'X', 'X'], [None, None, 'O'], ['X', 'O', 'O']]@-10@O
[[None, None, 'X'], ['X', None, 'O'], ['X', 'O', 'O']]@-10@O
[['O', 'O', 'X'], ['O', None, 'X'], ['X', None, None]]@-10@O
[['X', 'X', None], ['O', None, None], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'O'], [None, None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, 'O'], [None, None, 'X']]@-10@O
[['X', None, None], ['O', None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], ['O', None, None], ['X', 'X', None]]@-10@O
[['X', None, 'O'], [None, None, 'O'], ['O', 'X', 'X']]@-10@O
[['X', None, 'O'], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', None, 'X'], ['O', None, None], ['X', 'X', 'O']]@-10@O
[['O', None, 'X'], ['X', None, None], ['X', 'O', 'O']]@-10@O
[['X', 'X', 'O'], ['O', None, None], ['O', None, 'X']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], ['X', None, 'O']]@-10@O
[['O', 'X', 'X'], [None, None, 'O'], ['X', None, 'O']]@-10@O
[['X', 'O', 'O'], ['X', None, None], ['O', None, 'X']]@-10@O
[['X', None, 'O'], ['O', None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', None], ['O', None, 'O'], ['O', None, 'X']]@-10@O
[['O', None, 'X'], ['O', None, 'O'], ['X', 'X', None]]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], ['X', 'O', None]]@-10@O
[[None, 'O', 'X'], ['X', None, None], ['X', 'O', 'O']]@-10@O
[[None, 'X', 'X'], ['O', None, 'O'], ['X', None, 'O']]@-10@O
[['X', 'O', None], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, None], [None, 'O', 'X']]@-10@O
[['X', 'O', 'O'], ['X', None, None], [None, None, 'X']]@-10@O
[['X', None, 'O'], [None, None, 'O'], [None, 'X', 'X']]@-10@O
[['O', None, 'X'], ['O', None, None], ['X', 'X', None]]@-10@O
[['X', 'X', None], ['O', None, None], ['O', None, 'X']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], ['X', None, None]]@-10@O
[[None, 'X', 'X'], [None, None, 'O'], ['X', None, 'O']]@-10@O
[['X', None, None], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[[None, None, 'X'], ['X', None, None], ['X', 'O', 'O']]@-10@O
[[None, 'X', 'X'], [None, None, 'O'], [None, None, 'O']]@-10@O
[[None, None, None], [None, None, 'X'], ['O', 'O', 'X']]@-10@O
[['O', None, None], ['O', None, None], ['X', 'X', None]]@-10@O
[[None, None, None], ['X', None, None], ['X', 'O', 'O']]@-10@O
[['O', 'O', 'X'], [None, None, 'X'], [None, None, None]]@-10@O
[['X', 'X', None], ['O', None, None], ['O', None, None]]@-10@O
[['X', 'O', 'O'], ['X', None, None], [None, None, None]]@-10@O
[[None, None, 'O'], [None, None, 'O'], [None, 'X', 'X']]@-10@O
[[None, 'X', 'O'], ['O', 'O', 'X'], ['X', 'X', 'O']]@0@O
[['O', 'X', 'O'], ['X', 'O', 'X'], ['X', 'O', None]]@0@O
[['X', 'X', 'O'], ['O', 'O', 'X'], [None, 'X', 'O']]@0@O
[['X', 'O', None], ['X', 'O', 'X'], ['O', 'X', 'O']]@0@O
[['O', 'X', None], ['X', 'O', 'O'], ['O', 'X', 'X']]@0@O
[[None, 'O', 'X'], ['X', 'O', 'X'], ['O', 'X', 'O']]@0@O
[['O', 'X', 'O'], ['X', 'O', 'X'], [None, 'O', 'X']]@0@O
[['O', 'X', 'X'], ['X', 'O', 'O'], ['O', 'X', None]]@0@O
[['X', 'O', None], ['X', 'O', 'X'], ['O', 'X', None]]@10@O
[[None, 'X', 'O'], ['X', 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, 'X', None], ['O', 'O', 'X'], ['X', 'X', 'O']]@10@O
[['O', 'X', None], ['X', 'O', 'X'], ['X', 'O', None]]@10@O
[['O', 'X', 'X'], ['X', 'O', 'O'], [None, 'X', None]]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], [None, 'X', 'O']]@10@O
[[None, 'X', None], ['X', 'O', 'O'], ['O', 'X', 'X']]@10@O
[['X', 'X', 'O'], ['O', 'O', 'X'], [None, 'X', None]]@10@O
[['X', 'X', None], [None, 'O', 'O'], ['O', 'X', 'X']]@10@O
[['X', 'X', 'O'], ['O', 'O', None], [None, 'X', 'X']]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], ['X', None, 'O']]@10@O
[['X', 'O', None], ['X', 'O', 'X'], ['O', None, 'X']]@10@O
[['O', None, 'X'], ['X', 'O', 'X'], ['X', 'O', None]]@10@O
[['O', 'X', 'X'], [None, 'O', 'O'], ['X', 'X', None]]@10@O
[[None, 'X', 'X'], ['O', 'O', None], ['X', 'X', 'O']]@10@O
[['X', None, 'O'], ['X', 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, 'X', None], ['O', 'O', None], ['X', 'X', 'O']]@10@O
[['X', 'O', None], ['X', 'O', 'X'], ['O', None, None]]@10@O
[[None, None, 'O'], ['X', 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], [None, None, 'O']]@10@O
[['O', None, None], ['X', 'O', 'X'], ['X', 'O', None]]@10@O
[['O', 'X', 'X'], [None, 'O', 'O'], [None, 'X', None]]@10@O
[[None, 'X', None], [None, 'O', 'O'], ['O', 'X', 'X']]@10@O
[['X', 'X', 'O'], ['O', 'O', None], [None, 'X', None]]@10@O
[['X', 'X', None], ['O', 'O', 'O'], [None, 'X', None]]@10@O
[[None, 'O', None], ['X', 'O', 'X'], ['X', 'O', None]]@10@O
[[None, 'O', None], ['X', 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, 'X', 'X'], ['O', 'O', 'O'], [None, 'X', None]]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], [None, 'O', None]]@10@O
[['X', 'O', None], ['X', 'O', 'X'], [None, 'O', None]]@10@O
[[None, 'X', None], ['O', 'O', 'O'], [None, 'X', 'X']]@10@O
[[None, 'X', None], ['O', 'O', 'O'], ['X', 'X', None]]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], ['O', None, 'X']]@-10@O
[['O', None, 'X'], ['X', 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'X', 'X'], [None, 'O', 'O'], ['O', 'X', None]]@-10@O
[['X', 'O', None], ['X', 'O', 'X'], ['X', None, 'O']]@-10@O
[['X', None, 'O'], ['X', 'O', 'X'], ['X', 'O', None]]@-10@O
[[None, 'X', 'O'], ['O', 'O', None], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['O', 'O', None], [None, 'X', 'O']]@-10@O
[['O', 'X', None], [None, 'O', 'O'], ['X', 'X', 'X']]@-10@O
[[None, 'X', 'O'], ['X', 'O', 'X'], ['X', 'O', None]]@0@O
[['O', 'X', None], ['X', 'O', 'O'], [None, 'X', 'X']]@0@O
[[None, 'X', 'X'], ['X', 'O', 'O'], ['O', 'X', None]]@0@O
[['X', 'X', None], ['O', 'O', 'X'], [None, 'X', 'O']]@0@O
[[None, 'O', 'X'], ['X', 'O', 'X'], ['O', 'X', None]]@0@O
[[None, 'X', 'O'], ['O', 'O', 'X'], ['X', 'X', None]]@0@O
[['X', 'O', None], ['X', 'O', 'X'], [None, 'X', 'O']]@0@O
[['O', 'X', None], ['X', 'O', 'X'], [None, 'O', 'X']]@0@O
[['O', 'X', None], [None, 'O', 'O'], [None, 'X', 'X']]@-10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], ['O', None, None]]@-10@O
[['X', 'X', None], ['O', 'O', None], [None, 'X', 'O']]@-10@O
[[None, 'X', 'O'], ['O', 'O', None], ['X', 'X', None]]@-10@O
[[None, 'X', 'X'], [None, 'O', 'O'], ['O', 'X', None]]@-10@O
[[None, None, 'O'], ['X', 'O', 'X'], ['X', 'O', None]]@-10@O
[['O', None, None], ['X', 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'O', None], ['X', 'O', 'X'], [None, None, 'O']]@-10@O
[[None, None, None], ['X', 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, None, None], ['X', 'O', 'X'], ['X', 'O', None]]@10@O
[['X', 'O', None], ['X', 'O', 'X'], [None, None, None]]@10@O
[[None, 'X', None], ['O', 'O', None], ['X', 'X', None]]@10@O
[['X', 'X', None], ['O', 'O', None], [None, 'X', None]]@10@O
[[None, 'O', 'X'], ['X', 'O', 'X'], [None, None, None]]@10@O
[[None, 'X', 'X'], [None, 'O', 'O'], [None, 'X', None]]@10@O
[[None, 'X', None], [None, 'O', 'O'], [None, 'X', 'X']]@10@O
[[None, None, 'X'], [None, 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'X', 'X'], [None, 'O', 'O'], [None, None, None]]@-10@O
[[None, 'O', 'X'], [None, 'O', 'X'], [None, None, 'X']]@-10@O
[['X', 'X', 'X'], ['O', 'O', None], [None, None, None]]@-10@O
[[None, None, None], ['O', 'O', None], ['X', 'X', 'X']]@-10@O
[['X', 'O', None], ['X', 'O', None], ['X', None, None]]@-10@O
[['X', None, None], ['X', 'O', None], ['X', 'O', None]]@-10@O
[[None, None, None], [None, 'O', 'O'], ['X', 'X', 'X']]@-10@O
[[None, 'O', None], ['X', 'O', 'O'], ['X', 'X', 'X']]@-10@O
[[None, 'O', 'X'], ['O', 'O', 'X'], [None, 'X', 'X']]@-10@O
[['X', 'X', None], ['X', 'O', 'O'], ['X', 'O', None]]@-10@O
[[None, 'X', 'X'], ['O', 'O', 'X'], [None, 'O', 'X']]@-10@O
[[None, 'O', None], ['O', 'O', 'X'], ['X', 'X', 'X']]@-10@O
[['X', 'O', None], ['X', 'O', 'O'], ['X', 'X', None]]@-10@O
[['X', 'X', 'X'], ['X', 'O', 'O'], [None, 'O', None]]@-10@O
[['X', 'X', 'X'], ['O', 'O', 'X'], [None, 'O', None]]@-10@O
[['X', 'O', None], ['X', 'O', 'O'], ['O', 'X', 'X']]@0@O
[[None, 'O', 'X'], ['O', 'O', 'X'], ['X', 'X', 'O']]@0@O
[['O', 'X', 'X'], ['X', 'O', 'O'], ['X', 'O', None]]@0@O
[['X', 'X', 'O'], ['O', 'O', 'X'], [None, 'O', 'X']]@0@O
[[None, 'X', 'X'], ['X', 'O', 'O'], ['X', 'O', None]]@0@O
[['X', 'X', None], ['O', 'O', 'X'], [None, 'O', 'X']]@0@O
[[None, 'O', 'X'], ['O', 'O', 'X'], ['X', 'X', None]]@0@O
[['X', 'O', None], ['X', 'O', 'O'], [None, 'X', 'X']]@0@O
[[None, 'X', 'X'], ['X', 'O', 'O'], [None, 'O', None]]@-10@O
[['X', 'X', None], ['O', 'O', 'X'], [None, 'O', None]]@-10@O
[[None, 'O', None], ['O', 'O', 'X'], ['X', 'X', None]]@-10@O
[['X', 'O', None], ['X', 'O', 'O'], [None, 'X', None]]@-10@O
[[None, 'O', 'X'], ['O', 'O', 'X'], [None, 'X', None]]@-10@O
[[None, 'X', None], ['O', 'O', 'X'], [None, 'O', 'X']]@-10@O
[[None, 'X', None], ['X', 'O', 'O'], ['X', 'O', None]]@-10@O
[[None, 'O', None], ['X', 'O', 'O'], [None, 'X', 'X']]@-10@O
[['X', 'X', 'O'], [None, 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['X', 'X', 'O']]@10@O
[[None, None, 'X'], ['O', 'O', 'X'], ['X', 'X', 'O']]@10@O
[['X', 'X', 'O'], ['O', 'O', 'X'], [None, None, 'X']]@10@O
[['O', 'X', 'X'], ['X', 'O', 'O'], ['X', None, None]]@10@O
[['O', 'X', 'X'], ['X', 'O', None], ['X', 'O', None]]@10@O
[['X', None, None], ['X', 'O', 'O'], ['O', 'X', 'X']]@10@O
[['X', 'O', None], ['X', 'O', None], ['O', 'X', 'X']]@10@O
[[None, None, None], ['O', 'O', 'X'], ['X', 'X', 'O']]@0@O
[['X', 'O', None], ['X', 'O', None], ['O', 'X', None]]@0@O
[['O', 'X', 'X'], ['X', 'O', 'O'], [None, None, None]]@0@O
[[None, 'X', 'O'], [None, 'O', 'X'], [None, 'O', 'X']]@0@O
[[None, None, None], ['X', 'O', 'O'], ['O', 'X', 'X']]@0@O
[['X', 'X', 'O'], ['O', 'O', 'X'], [None, None, None]]@0@O
[[None, 'O', 'X'], [None, 'O', 'X'], [None, 'X', 'O']]@0@O
[['O', 'X', None], ['X', 'O', None], ['X', 'O', None]]@0@O
[[None, None, 'O'], ['O', 'O', 'X'], ['X', 'X', 'X']]@-10@O
[['X', 'O', None], ['X', 'O', None], ['X', 'X', 'O']]@-10@O
[['O', None, None], ['X', 'O', 'O'], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['O', 'O', 'X'], [None, None, 'O']]@-10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['O', 'X', 'X']]@-10@O
[['O', 'X', 'X'], [None, 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'X', 'X'], ['X', 'O', 'O'], ['O', None, None]]@-10@O
[['X', 'X', 'O'], ['X', 'O', None], ['X', 'O', None]]@-10@O
[['O', None, None], ['X', 'O', 'O'], [None, 'X', 'X']]@-10@O
[[None, None, 'O'], ['O', 'O', 'X'], ['X', 'X', None]]@-10@O
[[None, 'X', 'O'], ['X', 'O', None], ['X', 'O', None]]@-10@O
[[None, 'X', 'X'], ['X', 'O', 'O'], ['O', None, None]]@-10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['O', 'X', None]]@-10@O
[['O', 'X', None], [None, 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'O', None], ['X', 'O', None], [None, 'X', 'O']]@-10@O
[['X', 'X', None], ['O', 'O', 'X'], [None, None, 'O']]@-10@O
[[None, 'X', None], ['X', 'O', None], ['X', 'O', None]]@0@O
[[None, None, None], ['X', 'O', 'O'], [None, 'X', 'X']]@0@O
[[None, 'X', None], [None, 'O', 'X'], [None, 'O', 'X']]@0@O
[['X', 'X', None], ['O', 'O', 'X'], [None, None, None]]@0@O
[[None, 'X', 'X'], ['X', 'O', 'O'], [None, None, None]]@0@O
[[None, None, None], ['O', 'O', 'X'], ['X', 'X', None]]@0@O
[[None, 'O', 'X'], [None, 'O', 'X'], [None, 'X', None]]@0@O
[['X', 'O', None], ['X', 'O', None], [None, 'X', None]]@0@O
[['X', 'X', 'X'], ['O', 'O', None], [None, 'O', 'X']]@-10@O
[['X', 'O', None], [None, 'O', 'O'], ['X', 'X', 'X']]@-10@O
[[None, 'O', 'X'], ['O', 'O', 'X'], ['X', None, 'X']]@-10@O
[['X', 'O', None], ['X', 'O', 'O'], ['X', None, 'X']]@-10@O
[['X', None, 'X'], ['X', 'O', 'O'], ['X', 'O', None]]@-10@O
[['X', 'X', 'X'], [None, 'O', 'O'], ['X', 'O', None]]@-10@O
[[None, 'O', 'X'], ['O', 'O', None], ['X', 'X', 'X']]@-10@O
[['X', None, 'X'], ['O', 'O', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'X', None], ['O', 'O', None], [None, 'O', 'X']]@-10@O
[['X', 'O', None], [None, 'O', 'O'], [None, 'X', 'X']]@-10@O
[[None, 'O', 'X'], ['O', 'O', None], ['X', 'X', None]]@-10@O
[['X', None, None], ['O', 'O', 'X'], [None, 'O', 'X']]@-10@O
[[None, 'O', 'X'], ['O', 'O', 'X'], ['X', None, None]]@-10@O
[['X', 'O', None], ['X', 'O', 'O'], [None, None, 'X']]@-10@O
[[None, 'X', 'X'], [None, 'O', 'O'], ['X', 'O', None]]@-10@O
[[None, None, 'X'], ['X', 'O', 'O'], ['X', 'O', None]]@-10@O
[['X', None, 'O'], [None, 'O', 'X'], [None, 'O', 'X']]@10@O
[['O', 'X', 'X'], [None, 'O', 'O'], ['X', None, None]]@10@O
[['O', None, 'X'], ['X', 'O', None], ['X', 'O', None]]@10@O
[['X', 'X', 'O'], ['O', 'O', None], [None, None, 'X']]@10@O
[['X', None, None], [None, 'O', 'O'], ['O', 'X', 'X']]@10@O
[[None, None, 'X'], ['O', 'O', None], ['X', 'X', 'O']]@10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['X', None, 'O']]@10@O
[['X', 'O', None], ['X', 'O', None], ['O', None, 'X']]@10@O
[[None, 'O', 'X'], ['X', 'O', None], ['X', 'O', None]]@10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['X', 'O', None]]@10@O
[[None, 'X', 'X'], ['O', 'O', 'O'], ['X', None, None]]@10@O
[['X', None, None], ['O', 'O', 'O'], [None, 'X', 'X']]@10@O
[['X', 'O', None], ['X', 'O', None], [None, 'O', 'X']]@10@O
[['X', 'X', None], ['O', 'O', 'O'], [None, None, 'X']]@10@O
[['X', 'O', None], [None, 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, None, 'X'], ['O', 'O', 'O'], ['X', 'X', None]]@10@O
[['X', None, None], [None, 'O', 'X'], [None, 'O', 'X']]@10@O
[[None, None, 'X'], ['X', 'O', None], ['X', 'O', None]]@10@O
[['X', None, None], [None, 'O', 'O'], [None, 'X', 'X']]@10@O
[[None, None, 'X'], ['O', 'O', None], ['X', 'X', None]]@10@O
[[None, 'O', 'X'], [None, 'O', 'X'], ['X', None, None]]@10@O
[['X', 'X', None], ['O', 'O', None], [None, None, 'X']]@10@O
[['X', 'O', None], ['X', 'O', None], [None, None, 'X']]@10@O
[[None, 'X', 'X'], [None, 'O', 'O'], ['X', None, None]]@10@O
[['X', 'O', None], ['X', 'O', None], [None, None, None]]@-10@O
[[None, None, None], [None, 'O', 'O'], [None, 'X', 'X']]@-10@O
[[None, None, None], ['X', 'O', None], ['X', 'O', None]]@-10@O
[['X', 'X', None], ['O', 'O', None], [None, None, None]]@-10@O
[[None, None, None], [None, 'O', 'X'], [None, 'O', 'X']]@-10@O
[[None, None, None], ['O', 'O', None], ['X', 'X', None]]@-10@O
[[None, 'X', 'X'], [None, 'O', 'O'], [None, None, None]]@-10@O
[[None, 'O', 'X'], [None, 'O', 'X'], [None, None, None]]@-10@O
[['X', 'X', 'O'], ['O', 'X', 'X'], [None, 'O', 'O']]@0@O
[['X', 'O', None], ['X', 'X', 'O'], ['O', 'X', 'O']]@0@O
[['O', 'X', 'O'], ['O', 'X', 'X'], [None, 'O', 'X']]@0@O
[[None, 'O', 'O'], ['O', 'X', 'X'], ['X', 'X', 'O']]@0@O
[['O', 'X', 'O'], ['X', 'X', 'O'], ['X', 'O', None]]@0@O
[['O', 'X', 'X'], ['X', 'X', 'O'], ['O', 'O', None]]@0@O
[[None, 'O', 'X'], ['O', 'X', 'X'], ['O', 'X', 'O']]@0@O
[['O', 'O', None], ['X', 'X', 'O'], ['O', 'X', 'X']]@0@O
[[None, 'O', None], ['O', 'X', 'X'], ['X', 'X', 'O']]@0@O
[[None, 'X', 'O'], ['O', 'X', 'X'], [None, 'O', 'X']]@0@O
[['O', 'X', None], ['X', 'X', 'O'], ['X', 'O', None]]@0@O
[['O', 'X', 'X'], ['X', 'X', 'O'], [None, 'O', None]]@0@O
[[None, 'O', None], ['X', 'X', 'O'], ['O', 'X', 'X']]@0@O
[[None, 'O', 'X'], ['O', 'X', 'X'], [None, 'X', 'O']]@0@O
[['X', 'X', 'O'], ['O', 'X', 'X'], [None, 'O', None]]@0@O
[['X', 'O', None], ['X', 'X', 'O'], ['O', 'X', None]]@0@O
[[None, 'O', 'X'], ['O', 'X', None], ['X', 'X', 'O']]@-10@O
[['O', None, 'X'], ['X', 'X', 'O'], ['X', 'O', None]]@-10@O
[['X', None, 'O'], ['O', 'X', 'X'], [None, 'O', 'X']]@-10@O
[['X', 'X', 'O'], ['O', 'X', None], [None, 'O', 'X']]@-10@O
[[None, 'O', 'X'], ['O', 'X', 'X'], ['X', None, 'O']]@-10@O
